,Label,badge_id,Description,Emoji,Score (Raw),Score (Decimal),Probability,Rarity,107734,word_1,type_1,word_2,type_2,word_3,type_3,word_4,type_4,word_5,type_5,word_6,type_6,word_7,type_7
1,Exact Nice,NICE_EXACT,"Exactly ""69"".",😏,0x5f5e164,100000100,0.00%,Mythic,0,nice,adj,,,,,,,,,,,,
2,Exact Jackpot,JACKPOT_EXACT,"Exactly ""777"".",💰,0x5f5e164,100000100,0.00%,Mythic,0,infinite,adj,divine,adj,,,,,,,,,,
3,Jackpot Six,JACKPOT_SIX,Contains six 7s in a row.,🏦,0x5f5e164,100000100,0.00%,Mythic,0,ultimate,adj,,,,,,,,,,,,
4,Exact Botanist,BOTANIST_EXACT,"Exactly ""420"".",🌿,0x5f5e164,100000100,0.00%,Mythic,0,,,,,,,,,,,,,,
5,Exact Devil,DEVIL_EXACT,"Exactly ""666"".",😈,0x5f5e164,100000100,0.00%,Mythic,0,unholy,adj,incarnate,adj,,,,,,,,,,
6,Exact Leet,LEET_EXACT,"Exactly ""1337"".",💻,0x5f5e164,100000100,0.00%,Mythic,0,ultimate,adj,hidden,adj,elite,adj,,,,,,,,
7,Exact Hell,EXACT_HELL,"Exactly ""7734"".",👹,0x5f5e164,100000100,0.00%,Mythic,0,forever,adv,eternal,adj,,,,,,,,,,
8,Exact 80085,EXACT_BOOB_80085,"Exactly ""80085"".",💎,0x5f5e164,100000100,0.00%,Mythic,0,cosmic,adj,legendary,adj,supreme,adj,,,,,,,,
9,Exact Meaning,MEANING_EXACT,"Exactly ""42"".",🌌,0x5f5e164,100000100,0.00%,Mythic,0,,,,,,,calm,adj,,,,,,
10,Exact Emergency,EMERGENCY_EXACT,"Exactly ""911"".",🚑,0x5f5e164,100000100,0.00%,Mythic,0,dire,adj,,,,,,,,,,,,
11,Very Very Nice,VERY_VERY_NICE,"Exactly ""696969"".",😏,0x5f5e164,100000100,0.00%,Mythic,0,supreme,adj,lush,adj,,,,,,,,,,
12,Hotbox,HOTBOX,"Exactly ""420420"".",🌿,0x5f5e164,100000100,0.00%,Mythic,0,thick,adj,,,,,,,,,,,,
13,Mayday,MAYDAY,"Exactly ""911911"".",🚑,0x5f5e164,100000100,0.00%,Mythic,0,,,,,,,,,,,,,,
14,Universal Answer,UNIVERSAL_ANSWER,"Exactly ""424242"".",🌌,0x5f5e164,100000100,0.00%,Mythic,0,universal,adj,,,,,,,,,,,,
15,Orwellian,BIG_BROTHER_EXACT,"Exactly ""1984"".",👁️,0x5f5e164,100000100,0.00%,Mythic,0,dystopia,noun,control,noun,!,punct,power,noun,surveillance,noun,,,,
16,Zero,DIGIT_ZERO,The number zero.,0️⃣,0x5f5e164,100000100,0.00%,Mythic,0,,,,,,,,,,,,,,
17,One,DIGIT_ONE,The number one.,1️⃣,0x5f5e164,100000100,0.00%,Mythic,0,,,,,,,,,,,,,,
18,Two,DIGIT_TWO,The number two.,2️⃣,0x5f5e164,100000100,0.00%,Mythic,0,,,,,,,,,,,,,,
19,Three,DIGIT_THREE,The number three.,3️⃣,0x5f5e164,100000100,0.00%,Mythic,0,,,,,,,,,,,,,,
20,Four,DIGIT_FOUR,The number four.,4️⃣,0x5f5e164,100000100,0.00%,Mythic,0,,,,,,,,,,,,,,
21,Five,DIGIT_FIVE,The number five.,5️⃣,0x5f5e164,100000100,0.00%,Mythic,0,,,,,,,,,,,,,,
22,Six,DIGIT_SIX,The number six.,6️⃣,0x5f5e164,100000100,0.00%,Mythic,0,,,,,,,,,,,,,,
23,Seven,DIGIT_SEVEN,The number seven.,7️⃣,0x5f5e164,100000100,0.00%,Mythic,0,,,,,,,,,,,,,,
24,Eight,DIGIT_EIGHT,The number eight.,8️⃣,0x5f5e164,100000100,0.00%,Mythic,0,,,,,,,,,,,,,,
25,Nine,DIGIT_NINE,The number nine.,9️⃣,0x5f5e164,100000100,0.00%,Mythic,0,,,,,,,,,,,,,,
26,Exact Tree Fiddy,TREE_FIDDY_EXACT,"Exactly ""350"".",🦕,0x5f5e164,100000100,0.00%,Mythic,0,ancient,adj,,,,,,,,,,,,
27,Exact Six-Seven,SIXTY_SEVEN_EXACT,"Exactly ""67"".",🫠,0x5f5e164,100000100,0.00%,Mythic,0,viral,adj,broken,adj,melting,adj,,,,,,,,
28,Exact Eighty-Six,EIGHTY_SIX_EXACT,"Exactly ""86"".",🍽️,0x5f5e164,100000100,0.00%,Mythic,0,erased,adj,vanished,adj,,,,,,,,,,
29,Exact Orientation,ORIENTATION_EXACT,"Exactly ""101"".",🧭,0x5f5e164,100000100,0.00%,Mythic,0,true,adj,,,,,,,,,,,,
30,Exact Calendar,CALENDAR_EXACT,"Exactly ""365"".",📅,0x5f5e164,100000100,0.00%,Mythic,0,annual,adj,,,,,,,,,,,,
31,Brainrot,BRAINROT,"Exactly ""676767"".",🫠,0x5f5e164,100000100,0.00%,Mythic,0,eternal,adj,cooked,adj,,,,,,,,,,
32,Groundhog Day,GROUNDHOG_DAY,"Exactly ""365365"".",📅,0x5f5e164,100000100,0.00%,Mythic,0,again,adv,luminous,adj,,,,,,,,,,
33,Exact Boob,EXACT_BOOB,"Exactly ""8008"" or ""58008"".",🍈,0x2faf0b2,50000050,0.00%,Mythic,0,absurd,adj,ridiculous,adj,,,,,,,,,,
34,13th Power,THIRTEENTH_POWER,A perfect thirteenth power (n¹³).,💀,0x1fca077,33333367,0.00%,Mythic,0,unseen,adj,mystic,adj,,,,,,,,,,
35,17th Power,SEVENTEENTH_POWER,A perfect seventeenth power (n¹⁷).,🧙,0x1fca077,33333367,0.00%,Mythic,0,,,,,,,,,,,,,,
36,19th Power,NINETEENTH_POWER,A perfect nineteenth power (n¹⁹).,🌑,0x1fca077,33333367,0.00%,Mythic,0,primordial,adj,,,,,,,,,,,,
37,10th Power,TENTH_POWER,A perfect tenth power (n¹⁰).,🔟,0x17d7859,25000025,0.00%,Mythic,0,vast,adj,,,,,thin,adj,quick,adj,here,adv,,
38,11th Power,ELEVENTH_POWER,A perfect eleventh power (n¹¹).,🕚,0x17d7859,25000025,0.00%,Mythic,0,immense,adj,towering,adj,,,,,,,,,,
39,Pi,PI,"Exactly π (314, 3141, 31415, or 314159).",🥧,0x17d7859,25000025,0.00%,Mythic,0,endless,adj,constant,adj,,,,,,,,,,
40,Euler's Number,E,"The number e (271, 2718, 27182, or 271828).",📈,0x17d7859,25000025,0.00%,Mythic,0,natural,adj,,,,,,,,,,,,
41,4 Consecutive Numbers,CONSEC_QUAD_EXACT,The entire number splits into four consecutive integers in order.,⛓️,0x17d7859,25000025,0.00%,Mythic,0,flawless,adj,perfect,adj,aligned,adj,,,,,,,,
42,9th Power,NINTH_POWER,A perfect ninth power (n⁹).,☁️,0x1312d14,20000020,0.00%,Mythic,0,astral,adj,,,,,,,,,,,,
43,8th Power,EIGHTH_POWER,A perfect eighth power (n⁸).,🎱,0xfe503b,16666683,0.00%,Mythic,0,ethereal,adj,,,,,,,,,,,,
44,7th Power,SEVENTH_POWER,A perfect seventh power (n⁷).,🌈,0xbebc2d,12500013,0.00%,Mythic,0,celestial,adj,divine,adj,cosmic,adj,,,,,,,,
45,Factorial,FACTORIAL,A factorial number (n!).,❗,0xa98ad2,11111122,0.00%,Mythic,0,,,,,,,,,,,,,,
46,Hello,HELLO,"Contains ""07734"" (spells HELLO upside-down).",👋,0xa98ad2,11111122,0.00%,Mythic,TRUE,,,,,,,,,,,,,,
47,Sequence (6),SEQUENCE_6,Contains a sequence of 6 consecutive digits.,🔢,0xa98ad2,11111122,0.00%,Mythic,0,woven,adj,intricate,adj,complex,adj,,,,,,,,
48,Contiguous Sixes,CONTIGUOUS_SIXES,Six identical consecutive digits.,➖➖➖➖,0x98968a,10000010,0.00%,Mythic,,,,,,,,,,,,,,,
49,Deep Void (5),DEEP_VOID_FIVE,"Contains ""00000"".",⚫,0x98968a,10000010,0.00%,Mythic,,absolute,adj,consumed,adj,,,,,,,,,,
50,Single Digit,ONE_DIGIT,Has exactly one digit.,☝️,0x98968a,10000010,0.00%,Mythic,,only,adv,single,adj,alone,adv,,,,,,,,
51,Quint Nine,QUINT_NINE,Ends in 99999.,🥳,0x98968a,10000010,0.00%,Mythic,,,,,,,,,,,,,,,
52,6th Power,SIXTH_POWER,A perfect sixth power (n⁶).,🎲,9090918,9090918,0.00%,Anomoly,,,,,,,,,,,,,,,
53,Power of Three,POWER_OF_THREE,A power of 3 (3ⁿ).,🔺,7692315,7692315,0.00%,Anomoly,,arcane,adj,mystic,adj,triple,adj,,,,,,,,
54,5th Power,FIFTH_POWER,A perfect fifth power (n⁵).,🖐️,6250006,6250006,0.00%,Anomoly,,mighty,adj,,,,,,,,,,,,
55,Jackpot Five,JACKPOT_FIVE,Contains five 7s in a row.,💰💰💰,5263163,5263163,0.00%,Anomoly,,vast,adj,endless,adj,,,,,,,,,,
56,Power of Two,POWER_OF_TWO,A power of 2 (2ⁿ).,💾,5000005,5000005,0.00%,Anomoly,,binary,adj,double,adj,,,,,,,,,,
57,Royal Flush,ROYAL_FLUSH,Contains 56789 - the highest possible straight.,👑,5000005,5000005,0.00%,Anomoly,,royal,adj,,,,,,,,,,,,
58,58008,BOOB_58008,"Contains ""58008"" (spells BOOBS upside-down).",🔠,5000005,5000005,0.00%,Anomoly,,hidden,adj,reverse,adj,phantom,adj,,,,,,,,
59,80085,BOOB_80085,"Contains ""80085"" (spells BOOBS).",🅱️,5000005,5000005,0.00%,Anomoly,,classic,adj,bold,adj,,,,,,,,,,
